代码,名称,总分
002919,名臣健康,71.45182291666667
001339,智微智能,67.85271139705881
600769,祥龙电业,67.35638786764706
002208,合肥城建,66.84474571078431
603926,铁流股份,66.71989889705883
603660,苏州科达,66.39590992647058
603283,赛腾股份,66.2710631127451
002886,沃特股份,65.91413909313725
603880,南卫股份,65.74716605392157
603638,艾迪精密,65.71423100490196
600353,旭光电子,65.69738051470588
002134,天津普林,65.53883272058823
002757,南兴股份,65.46989889705883
600961,株冶集团,65.41819852941177
001332,锡装股份,65.34888174019608
603155,新亚强,65.31901041666666
002297,博云新材,65.28186274509804
000811,冰轮环境,65.27535232843138
603730,岱美股份,65.23169424019608
600714,金瑞矿业,65.03867953431373
603085,天成自控,64.89698223039217
600791,京能置业,64.78056066176471
002795,永和智控,64.72694546568627
603125,常青科技,64.66567095588235
600105,永鼎股份,64.57146139705883
001226,拓山重工,64.5492493872549
600206,有研新材,64.50022977941175
002963,豪尔赛,64.29036458333333
605358,立昂微,64.07820159313724
603790,雅运股份,64.02382046568627
603115,海星股份,63.89590992647059
002741,光华科技,63.83157169117648
603186,XD华正新,63.61098345588235
603297,永新光学,63.52443321078431
002484,江海股份,63.46775428921568
603031,安孚科技,63.44630821078431
001266,宏英智能,63.41107536764705
603916,苏博特,63.39882046568627
002838,道恩股份,63.3865655637255
605133,嵘泰股份,63.32299325980392
002445,中南文化,63.31533394607844
002348,高乐股份,63.10546874999999
002768,国恩股份,63.02428002450981
001378,德冠新材,62.98291973039216
002577,雷柏科技,62.87492340686274
603601,再升科技,62.6727175245098
605077,华康股份,62.66505821078432
600396,华电辽能,62.65242034313726
600552,凯盛科技,62.63671875
603203,快克智能,62.59995404411765
603356,华菱精工,62.55629595588235
603688,石英股份,62.53102022058823
002273,水晶光电,62.42149203431373
000021,深科技,62.26294424019608
002281,光迅科技,62.2506893382353
001314,亿道信息,62.2445618872549
002885,京泉华,62.22617953431372
001212,中旗新材,62.18022365196079
003030,祖名股份,62.13962928921569
603268,松发股份,62.04082414215687
002429,兆驰股份,61.93589154411765
600246,万通发展,61.91367953431372
601991,大唐发电,61.87231924019608
600158,中体产业,61.80644914215687
002181,粤 传 媒,61.79534313725491
002443,金洲管道,61.77734375
603078,江化微,61.74708946078431
002380,科远智慧,61.740579044117645
002706,良信股份,61.719898897058826
002338,奥普光电,61.69921875000001
002600,领益智造,61.63334865196078
000029,深深房Ａ,61.555989583333336
000338,潍柴动力,61.50696997549019
000813,德展健康,61.5054381127451
002428,云南锗业,61.49241727941176
605168,三人行,61.491651348039206
603520,司太立,61.45258884803921
600962,国投中鲁,61.42348345588236
002833,弘亚数控,61.30782781862745
603615,茶花股份,61.232766544117645
603068,博通集成,61.16536458333334
600027,华电国际,61.11979166666667
603895,天永智能,61.08570772058823
001211,双枪科技,60.93788296568627
000988,华工科技,60.92792585784314
002436,兴森科技,60.91720281862745
002979,雷赛智能,60.88350183823529
603005,晶方科技,60.81916360294118
603226,菲林格尔,60.72035845588236
002938,鹏鼎控股,60.71729473039215
002787,华源控股,60.66827512254902
605011,杭州热电,60.47832414215687
600367,红星发展,60.454580269607845
603269,海鸥股份,60.377987132352935
000333,美的集团,60.3756893382353
603120,肯特催化,60.3125
002745,木林森,60.30981924019608
603680,今创集团,60.30522365196079
603800,洪田股份,60.24088541666667
603217,元利科技,60.21292892156863
